Server Name,Description,Carbon Footprint,Manufacturing,Transportation,Use,EoL,Product Weight,Product Lifetime,HDD/SSD Quantity,DRAM Capacity,Energy Demand (Yearly TEC),CPU Quantity,Type
PowerEdge R440," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7360,15.7,0.3,83.9,0.1,17.64,4,x2 1.2TB 2.5” HDD,16GB,1480.002,2,Rack
PowerEdge R430,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8150,14.3,0.3,85.3,0.1,26.3,4,x2 1TB 3.5” HDD,16GB,1760.3,2,Rack
PowerEdge R340," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",5230,22,0.3,77.6,0.1,13.2,4,x2 1TB 3.5” HDD,16GB,987.3,1,Rack
PowerEdge R330," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",5510,20.8,0.4,78.7,0.1,19.3,4,x2 1TB 3.5” HDD,16BG,1014.8,2,Blade
PowerEdge R240," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",5260,22.2,0.4,77.3,0.1,12.2,4,x2 1TB 3.5” HDD,16GB,980.7,1,Rack
PowerEdge R230," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management. ",5380,21.2,0.3,78.4,0.1,8.05,4,x2 1TB 2.5” HDD,16GB,1011.342,1,Rack
PowerEdge T640," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8000,16.4,0.7,82.6,0.3,42.36,4,"x2 300GB 2.5” HDD
x4 1.2TB 2.5” HDD",32GB,1584.7,2,Tower
PowerEdge T630," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8560,14.6,0.7,84.5,0.2,26,4,x4 1TB 3.5” HDD,16GB,858.918,2,Tower
PowerEdge T440," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7810,15.3,0.5,84,0.2,26.02,4,x4 1.2TB 2.5” HDD,16BG,1577.238,2,Tower
PowerEdge T430,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8520,14.2,0.6,85,0.2,26.3,4,x2 1TB 3.5” HDD,16GB,1760.3,2,Tower
PowerEdge T340," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",4780,23.7,0.8,75.2,0.3,22.25,4,x2 1TB 3.5” HDD,16GB,852.8,1,Tower
PowerEdge T330," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",4800,23.9,0.9,74.9,0.3,26,4,x2 1TB 3.5” HDD,16GB,858.918,1,Tower
PowerEdge T140," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",4480,25.8,0.8,73.2,0.2,11.84,4,x2 1TB 3.5” HDD,16GB,799.8,1,Tower
PowerEdge T130,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",4260,26.9,0.8,72.1,0.2,11.13,4,x2 1TB 3.5” HDD,16GB,745,1,Tower
